11.06.2017 15:33:49:649 |2017522182734909| UCommon.TemplateToScreen-2 Clear
11.06.2017 15:33:49:649 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer TemplateToScreen
11.06.2017 15:33:49:649 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer MyPanelAir.AirDevices.Init TLZone.TLEditor.Index=1
11.06.2017 15:33:49:649 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer MyPanelAir.SetValues
11.06.2017 15:33:49:649 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer œÛÒÚÓÈ ÍÎËÔ Á‡„ÛÊÂÌ.
11.06.2017 15:33:49:649 |2017522182734909| Message:WMEraseBackGround
11.06.2017 15:33:49:649 |2017522182734909| UInitForms.UpdatePanelPrepare
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TTLNames.Draw Start
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TZoneScaler.Draw Height=25
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TNamesTL.Clear
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TNamesTL.Init Result=113
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=0
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=1
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=2
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TZoneReview.Draw Top=283 Height=45
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TTLNames.Draw Finish
